time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
21	0.133630620956	0.0	0.0	0.0	0.510703379154	kid>cgv	time205-cond1.txt
22	0.0	0.0	0.0	0.0	0.530307028158	cgv>kid	time205-cond1.txt
23	0.0	0.0	0.0	0.0	0.376916756398	kid>cgv	time205-cond1.txt
24	0.0	0.0	0.0	0.0	0.469625913838	cgv>kid	time205-cond1.txt
25	0.0845154254729	0.0845154254729	0.0944911182523	0.0944911182523	0.712530330114	kid>cgv	time205-cond1.txt
26	0.0	0.0	0.0	0.0	0.359469438381	cgv>kid	time205-cond1.txt
27	0.0	0.0	0.0	0.0	0.446840788499	kid>cgv	time205-cond1.txt
28	0.282842712475	0.210818510678	0.0	0.0	0.607877194187	cgv>kid	time205-cond1.txt
29	0.333333333333	0.0	0.22360679775	0.22360679775		kid>cgv	time205-cond1.txt
30	0.0	0.0	0.0	0.0		cgv>kid	time205-cond1.txt
31	0.0	0.0	0.0	0.0	0.589631787021	kid>cgv	time205-cond1.txt
32	0.0	0.0	0.0	0.0	0.642889479987	cgv>kid	time205-cond1.txt
33	0.134839972493	0.134839972493	0.0	0.0	0.697813823301	kid>cgv	time205-cond1.txt
34	0.169030850946	0.169030850946	0.0	0.0	0.652318897926	cgv>kid	time205-cond1.txt
35	0.0	0.0	0.0	0.0	0.657632591828	kid>cgv	time205-cond1.txt
36	0.0	0.0	0.0	0.0	0.657632591828	cgv>kid	time205-cond1.txt
37	0.154303349962	0.308606699924	0.0	0.0	0.348884355302	kid>cgv	time205-cond1.txt
38	0.0	0.0	0.0	0.0	0.450535936517	cgv>kid	time205-cond1.txt
39	0.0	0.0	0.0	0.0	0.672795179423	kid>cgv	time205-cond1.txt
40	0.0	0.0	0.0	0.0	0.656361116695	cgv>kid	time205-cond1.txt
41	0.0	0.0	1.0	1.0	1.0	kid>cgv	time205-cond1.txt
42	0.0	0.0	0.666666666667	0.666666666667	0.841147953762	cgv>kid	time205-cond1.txt
43	0.0	0.0	0.0	0.0	0.287400753631	kid>cgv	time205-cond1.txt
44	0.301511344578	0.333333333333	0.0	0.0	0.600849794269	cgv>kid	time205-cond1.txt
45	0.167248402001	0.184900065408	0.0	0.0	0.731920018994	kid>cgv	time205-cond1.txt
46	0.0833333333333	0.07453559925	0.174077655956	0.174077655956	0.70082422013	cgv>kid	time205-cond1.txt
47	0.19364916731	0.173205080757	0.176546965901	0.176546965901	0.584839723998	kid>cgv	time205-cond1.txt
48	0.0605227532669	0.181568259801	0.0	0.0	0.413367533643	cgv>kid	time205-cond1.txt
49	0.11396057646	0.227921152919	0.208514414057	0.208514414057	0.855403149001	kid>cgv	time205-cond1.txt
50	0.0	0.0	0.0	0.0	0.532561608317	cgv>kid	time205-cond1.txt
51	0.158113883008	0.153392997769	0.0	0.0	0.731743966858	kid>cgv	time205-cond1.txt
52	0.0	0.0	0.456435464588	0.456435464588	0.687122275247	cgv>kid	time205-cond1.txt
53	0.108465228909	0.205195670417	0.0	0.0	0.398197791792	kid>cgv	time205-cond1.txt
54	0.346551640042	0.335083126633	0.0	0.0	0.624302052592	cgv>kid	time205-cond1.txt
55	0.0589255650989	0.0527046276695	0.0	0.0	0.64931074414	kid>cgv	time205-cond1.txt
56	0.13193984914	0.0870388279778	0.044280744277	0.044280744277	0.649669272427	cgv>kid	time205-cond1.txt
57	0.054554472559	0.0	0.0	0.0	0.682044037805	kid>cgv	time205-cond1.txt
58	0.0936585811582	0.0	0.101015254455	0.101015254455	0.840822580483	cgv>kid	time205-cond1.txt
59	0.0	0.125	0.0	0.0	0.444630233351	kid>cgv	time205-cond1.txt
60	0.0	0.0	0.0	0.0	0.1997601221	cgv>kid	time205-cond1.txt
61	0.0	0.0	0.11396057646	0.11396057646	0.298452063893	kid>cgv	time205-cond1.txt
62	0.0	0.105409255339	0.109108945118	0.109108945118	0.451200230808	cgv>kid	time205-cond1.txt
63	0.113066754217	0.068041381744	0.0	0.0481125224325	0.563694752728	kid>cgv	time205-cond1.txt
64	0.184931680364	0.353774568839	0.125	0.125	0.914315256748	cgv>kid	time205-cond1.txt
65	0.0	0.0	0.0	0.0	0.535935512779	kid>cgv	time205-cond1.txt
66	0.0	0.0	0.0	0.0	0.797328439205	cgv>kid	time205-cond1.txt
67	0.0	0.0	0.0	0.0	0.225553797164	kid>cgv	time205-cond1.txt
68	0.0	0.0	0.0	0.0	0.42187804933	cgv>kid	time205-cond1.txt
69	0.0	0.0	0.0	0.0	0.28711514265	kid>cgv	time205-cond1.txt
70	0.0	0.144337567297	0.0	0.0	0.315388242665	cgv>kid	time205-cond1.txt
71	0.0860662965824	0.07453559925	0.0	0.0	0.69562618167	kid>cgv	time205-cond1.txt
72	0.261116483934	0.483493778415	0.0870388279778	0.0870388279778	0.442556741163	cgv>kid	time205-cond1.txt
73	0.225417408667	0.2705008904	0.0	0.0	0.54028170534	kid>cgv	time205-cond1.txt
74	0.322591135418	0.35478314523	0.0	0.0	0.833960730081	cgv>kid	time205-cond1.txt
75	0.258198889747	0.267261241912	0.0	0.0	0.534166125198	kid>cgv	time205-cond1.txt
